77,52,80
50,42,75
19,19,70
77,21,23
82,11,66
21,31,79
46,20,56
6,90,81
90,53,64
88,73,90
63,7,37
20,58,83
13,21,78
89,32,85
9,55,21
14,89,39
47,12,42
94,70,19
46,60,8
71,7,85
87,54,23
69,9,4
84,90,85
46,85,36
53,30,25
67,71,97
8,39,2
65,49,14
5,13,77
42,36,85
30,24,97
32,81,42
2,65,51
25,45,21
51,24,14
4,72,91
28,15,54
50,57,35
86,8,98
9,91,61
79,74,13
19,7,63
84,67,40
28,26,85
58,16,94
23,80,52
24,29,40
41,96,51
59,91,44
28,87,69
92,91,36
91,3,33
13,8,50
12,11,2
60,9,84
9,63,23
3,69,61
58,95,2
47,78,80
49,19,12
58,4,64
74,27,63
15,64,7
57,51,56
93,2,87
19,47,48
28,38,92
58,31,7
57,56,26
92,63,61
38,28,83
35,72,45
88,41,1
86,25,22
28,33,27
8,20,59
18,42,87
64,24,7
2,30,77
20,26,93
62,30,23
66,31,77
89,47,17
45,61,59
8,38,39
11,60,57
91,31,48
90,61,89
9,27,18
67,77,69
75,61,63
88,2,76
92,55,69
27,90,16
95,81,22
39,97,41
75,66,92
65,85,100
39,65,15
82,25,69
